Month,Age Range,Classification,Category,Percentage %
Feb-23,People aged 40 - 54 years,Age of youngest child in household,Without children aged under 15 years,45.8
Feb-23,People aged 55 years and over,Reason did not actively look for work,Discouraged job seekers,20.7
Feb-23,People aged 55 years and over,Reason did not actively look for work,   Considered too young or too old by employers,10.5
Feb-23,People aged 55 years and over,Reason did not actively look for work,   Believes ill health or disability discourages employers,0.8
Feb-23,People aged 55 years and over,Reason did not actively look for work,"   Lacked necessary skills, education or experience",1.1
Feb-23,People aged 55 years and over,Reason did not actively look for work,   Cultural background or language difficulties,0.9
Feb-23,People aged 55 years and over,Reason did not actively look for work,"   No jobs in locality, line of work or no jobs at all",5.0
Feb-23,People aged 55 years and over,Reason did not actively look for work,   No jobs in suitable hours,2.4
Feb-23,People aged 55 years and over,Reason did not actively look for work,Personal reasons,46.4
Feb-23,People aged 55 years and over,Reason did not actively look for work,   Own short-term illness or injury,4.7
Feb-23,People aged 55 years and over,Reason did not actively look for work,   Own long-term health condition or disability,13.8
Feb-23,People aged 55 years and over,Reason did not actively look for work,   Attending an educational institution,1.2
Feb-23,People aged 55 years and over,Reason did not actively look for work,   Had no need or want to work,21.9
Feb-23,People aged 55 years and over,Reason did not actively look for work,   Working in an unpaid voluntary job,2.3
Feb-23,People aged 55 years and over,Reason did not actively look for work,   Problems with access to transport,1.3
Feb-23,People aged 55 years and over,Reason did not actively look for work,   Moved house or holidays,1.2
Feb-23,People aged 55 years and over,Reason did not actively look for work,Family reasons,11.0
Feb-23,People aged 55 years and over,Reason did not actively look for work,   Caring for ill or elderly person or family member,5.6
Feb-23,People aged 55 years and over,Reason did not actively look for work,   Childcare,3.0
Feb-23,People aged 55 years and over,Reason did not actively look for work,   Other family considerations,2.4
Feb-23,People aged 55 years and over,Reason did not actively look for work,Other reasons,17.4
Feb-23,People aged 55 years and over,Reason did not actively look for work,Did not know,4.5
Feb-23,People aged 55 years and over,Reason childcare is a barrier to looking for work,No childcare in locality or at all,0.0
Feb-23,People aged 55 years and over,Reason childcare is a barrier to looking for work,"Childcare costs, too expensive",0.2
Feb-23,People aged 55 years and over,Reason childcare is a barrier to looking for work,Booked out or no places available,0.0
Feb-23,People aged 55 years and over,Reason childcare is a barrier to looking for work,Children too young or too old,0.3
Feb-23,People aged 55 years and over,Reason childcare is a barrier to looking for work,Prefers to look after children,1.2
Feb-23,People aged 55 years and over,Reason childcare is a barrier to looking for work,Child has a disability or special needs,0.6
Feb-23,People aged 55 years and over,Reason childcare is a barrier to looking for work,"On maternity, paternity or parental leave",0.0
Feb-23,People aged 55 years and over,Reason childcare is a barrier to looking for work,Other childcare reasons,0.7
Feb-23,People aged 55 years and over,Age of youngest child in household,With children aged under 15 years,6.5
Feb-23,People aged 55 years and over,Age of youngest child in household,   0 - 2 years,0.5
Feb-23,People aged 55 years and over,Age of youngest child in household,   3 - 4 years,1.0
Feb-23,People aged 55 years and over,Age of youngest child in household,   5 years,0.5
Feb-23,People aged 55 years and over,Age of youngest child in household,   6 - 9 years,1.9
Feb-23,People aged 55 years and over,Age of youngest child in household,   10 - 14 years,2.6
Feb-23,People aged 55 years and over,Age of youngest child in household,Without children aged under 15 years,93.5
Feb-24,People aged 15 - 24 years,Reason did not actively look for work,Discouraged job seekers,5.5
Feb-24,People aged 15 - 24 years,Reason did not actively look for work,   Considered too young or too old by employers,0.2
Feb-24,People aged 15 - 24 years,Reason did not actively look for work,   Believes ill health or disability discourages employers,0.3
Feb-24,People aged 15 - 24 years,Reason did not actively look for work,"   Lacked necessary skills, education or experience",2.1
Feb-24,People aged 15 - 24 years,Reason did not actively look for work,   Cultural background or language difficulties,0.3
Feb-24,People aged 15 - 24 years,Reason did not actively look for work,"   No jobs in locality, line of work or no jobs at all",1.9
Feb-24,People aged 15 - 24 years,Reason did not actively look for work,   No jobs in suitable hours,0.6
Feb-24,People aged 15 - 24 years,Reason did not actively look for work,Personal reasons,76.3
Feb-24,People aged 15 - 24 years,Reason did not actively look for work,   Own short-term illness or injury,2.4
Feb-24,People aged 15 - 24 years,Reason did not actively look for work,   Own long-term health condition or disability,7.3
Feb-24,People aged 15 - 24 years,Reason did not actively look for work,   Attending an educational institution,58.1
Feb-24,People aged 15 - 24 years,Reason did not actively look for work,   Had no need or want to work,3.3
Feb-24,People aged 15 - 24 years,Reason did not actively look for work,   Working in an unpaid voluntary job,0.3
Feb-24,People aged 15 - 24 years,Reason did not actively look for work,   Problems with access to transport,1.6
Feb-24,People aged 15 - 24 years,Reason did not actively look for work,   Moved house or holidays,3.3
Feb-24,People aged 15 - 24 years,Reason did not actively look for work,Family reasons,2.0
Feb-24,People aged 15 - 24 years,Reason did not actively look for work,   Caring for ill or elderly person or family member,0.1
Feb-24,People aged 15 - 24 years,Reason did not actively look for work,   Childcare,1.7
Feb-24,People aged 15 - 24 years,Reason did not actively look for work,   Other family considerations,0.1
Feb-24,People aged 15 - 24 years,Reason did not actively look for work,Other reasons,11.7
Feb-24,People aged 15 - 24 years,Reason did not actively look for work,Did not know,4.6
Feb-24,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,No childcare in locality or at all,0.1
Feb-24,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,"Childcare costs, too expensive",0.3
Feb-24,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Booked out or no places available,0.6
Feb-24,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Children too young or too old,0.4
Feb-24,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Prefers to look after children,0.0
Feb-24,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Child has a disability or special needs,0.0
Feb-24,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,"On maternity, paternity or parental leave",0.0
Feb-24,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Other childcare reasons,0.3
Feb-24,People aged 15 - 24 years,Age of youngest child in household,With children aged under 15 years,36.9
Feb-24,People aged 15 - 24 years,Age of youngest child in household,   0 - 2 years,3.5
Feb-24,People aged 15 - 24 years,Age of youngest child in household,   3 - 4 years,4.6
Feb-24,People aged 15 - 24 years,Age of youngest child in household,   5 years,0.9
Feb-24,People aged 15 - 24 years,Age of youngest child in household,   6 - 9 years,7.8
Feb-24,People aged 15 - 24 years,Age of youngest child in household,   10 - 14 years,20.0
Feb-24,People aged 15 - 24 years,Age of youngest child in household,Without children aged under 15 years,63.1
Feb-24,People aged 25 - 39 years,Reason did not actively look for work,Discouraged job seekers,3.8
Feb-24,People aged 25 - 39 years,Reason did not actively look for work,   Considered too young or too old by employers,0.0
Feb-24,People aged 25 - 39 years,Reason did not actively look for work,   Believes ill health or disability discourages employers,0.3
Feb-24,People aged 25 - 39 years,Reason did not actively look for work,"   Lacked necessary skills, education or experience",1.8
Feb-24,People aged 25 - 39 years,Reason did not actively look for work,   Cultural background or language difficulties,0.0
Feb-24,People aged 25 - 39 years,Reason did not actively look for work,"   No jobs in locality, line of work or no jobs at all",0.2
Feb-24,People aged 25 - 39 years,Reason did not actively look for work,   No jobs in suitable hours,1.5
Feb-24,People aged 25 - 39 years,Reason did not actively look for work,Personal reasons,38.1
Feb-24,People aged 25 - 39 years,Reason did not actively look for work,   Own short-term illness or injury,3.1
Feb-24,People aged 25 - 39 years,Reason did not actively look for work,   Own long-term health condition or disability,9.9
Feb-24,People aged 25 - 39 years,Reason did not actively look for work,   Attending an educational institution,15.0
Feb-24,People aged 25 - 39 years,Reason did not actively look for work,   Had no need or want to work,5.7
Feb-24,People aged 25 - 39 years,Reason did not actively look for work,   Working in an unpaid voluntary job,0.6
Feb-24,People aged 25 - 39 years,Reason did not actively look for work,   Problems with access to transport,0.6
Feb-24,People aged 25 - 39 years,Reason did not actively look for work,   Moved house or holidays,3.2
Feb-24,People aged 25 - 39 years,Reason did not actively look for work,Family reasons,44.1
Feb-24,People aged 25 - 39 years,Reason did not actively look for work,   Caring for ill or elderly person or family member,3.0
Feb-24,People aged 25 - 39 years,Reason did not actively look for work,   Childcare,35.8
Feb-24,People aged 25 - 39 years,Reason did not actively look for work,   Other family considerations,5.4
Feb-24,People aged 25 - 39 years,Reason did not actively look for work,Other reasons,10.8
Feb-24,People aged 25 - 39 years,Reason did not actively look for work,Did not know,3.2
Feb-24,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,No childcare in locality or at all,2.4
Feb-24,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,"Childcare costs, too expensive",11.2
Feb-24,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Booked out or no places available,1.9
Feb-24,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Children too young or too old,4.3
Feb-24,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Prefers to look after children,10.1
Feb-24,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Child has a disability or special needs,2.9
Feb-24,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,"On maternity, paternity or parental leave",1.6
Feb-24,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Other childcare reasons,1.4
Feb-24,People aged 25 - 39 years,Age of youngest child in household,With children aged under 15 years,60.1
Feb-24,People aged 25 - 39 years,Age of youngest child in household,   0 - 2 years,31.1
Feb-24,People aged 25 - 39 years,Age of youngest child in household,   3 - 4 years,12.1
Feb-24,People aged 25 - 39 years,Age of youngest child in household,   5 years,5.4
Feb-24,People aged 25 - 39 years,Age of youngest child in household,   6 - 9 years,8.6
Feb-24,People aged 25 - 39 years,Age of youngest child in household,   10 - 14 years,2.9
Feb-24,People aged 25 - 39 years,Age of youngest child in household,Without children aged under 15 years,39.9
Feb-24,People aged 40 - 54 years,Reason did not actively look for work,Discouraged job seekers,8.8
Feb-24,People aged 40 - 54 years,Reason did not actively look for work,   Considered too young or too old by employers,1.9
Feb-24,People aged 40 - 54 years,Reason did not actively look for work,   Believes ill health or disability discourages employers,1.1
Feb-24,People aged 40 - 54 years,Reason did not actively look for work,"   Lacked necessary skills, education or experience",2.9
Feb-24,People aged 40 - 54 years,Reason did not actively look for work,   Cultural background or language difficulties,1.0
Feb-24,People aged 40 - 54 years,Reason did not actively look for work,"   No jobs in locality, line of work or no jobs at all",0.9
Feb-24,People aged 40 - 54 years,Reason did not actively look for work,   No jobs in suitable hours,0.8
Feb-24,People aged 40 - 54 years,Reason did not actively look for work,Personal reasons,36.8
Feb-24,People aged 40 - 54 years,Reason did not actively look for work,   Own short-term illness or injury,4.7
Feb-24,People aged 40 - 54 years,Reason did not actively look for work,   Own long-term health condition or disability,16.9
Feb-24,People aged 40 - 54 years,Reason did not actively look for work,   Attending an educational institution,6.8
Feb-24,People aged 40 - 54 years,Reason did not actively look for work,   Had no need or want to work,5.8
Feb-24,People aged 40 - 54 years,Reason did not actively look for work,   Working in an unpaid voluntary job,0.0
Feb-24,People aged 40 - 54 years,Reason did not actively look for work,   Problems with access to transport,0.5
Feb-24,People aged 40 - 54 years,Reason did not actively look for work,   Moved house or holidays,2.1
Feb-24,People aged 40 - 54 years,Reason did not actively look for work,Family reasons,38.9
Feb-24,People aged 40 - 54 years,Reason did not actively look for work,   Caring for ill or elderly person or family member,6.9
Feb-24,People aged 40 - 54 years,Reason did not actively look for work,   Childcare,26.1
Feb-24,People aged 40 - 54 years,Reason did not actively look for work,   Other family considerations,5.9
Feb-24,People aged 40 - 54 years,Reason did not actively look for work,Other reasons,11.4
Feb-24,People aged 40 - 54 years,Reason did not actively look for work,Did not know,4.1
Feb-24,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,No childcare in locality or at all,1.6
Feb-24,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,"Childcare costs, too expensive",7.2
Feb-24,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Booked out or no places available,0.3
Feb-24,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Children too young or too old,2.6
Feb-24,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Prefers to look after children,7.9
Feb-24,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Child has a disability or special needs,3.5
Feb-24,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,"On maternity, paternity or parental leave",0.5
Feb-24,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Other childcare reasons,2.6
Feb-24,People aged 40 - 54 years,Age of youngest child in household,With children aged under 15 years,57.2
Feb-24,People aged 40 - 54 years,Age of youngest child in household,   0 - 2 years,7.8
Feb-24,People aged 40 - 54 years,Age of youngest child in household,   3 - 4 years,11.9
Feb-24,People aged 40 - 54 years,Age of youngest child in household,   5 years,3.2
Feb-24,People aged 40 - 54 years,Age of youngest child in household,   6 - 9 years,14.4
Feb-24,People aged 40 - 54 years,Age of youngest child in household,   10 - 14 years,19.8
Feb-24,People aged 40 - 54 years,Age of youngest child in household,Without children aged under 15 years,42.8
Feb-24,People aged 55 years and over,Reason did not actively look for work,Discouraged job seekers,18.5
Feb-24,People aged 55 years and over,Reason did not actively look for work,   Considered too young or too old by employers,10.9
Feb-24,People aged 55 years and over,Reason did not actively look for work,   Believes ill health or disability discourages employers,0.6
Feb-24,People aged 55 years and over,Reason did not actively look for work,"   Lacked necessary skills, education or experience",0.8
Feb-24,People aged 55 years and over,Reason did not actively look for work,   Cultural background or language difficulties,0.3
Feb-24,People aged 55 years and over,Reason did not actively look for work,"   No jobs in locality, line of work or no jobs at all",4.1
Feb-24,People aged 55 years and over,Reason did not actively look for work,   No jobs in suitable hours,1.8
Feb-24,People aged 55 years and over,Reason did not actively look for work,Personal reasons,54.1
Feb-24,People aged 55 years and over,Reason did not actively look for work,   Own short-term illness or injury,7.5
Feb-24,People aged 55 years and over,Reason did not actively look for work,   Own long-term health condition or disability,16.9
Feb-24,People aged 55 years and over,Reason did not actively look for work,   Attending an educational institution,0.5
Feb-24,People aged 55 years and over,Reason did not actively look for work,   Had no need or want to work,22.8
Feb-24,People aged 55 years and over,Reason did not actively look for work,   Working in an unpaid voluntary job,3.5
Feb-24,People aged 55 years and over,Reason did not actively look for work,   Problems with access to transport,0.7
Feb-24,People aged 55 years and over,Reason did not actively look for work,   Moved house or holidays,2.1
Feb-24,People aged 55 years and over,Reason did not actively look for work,Family reasons,11.1
Feb-24,People aged 55 years and over,Reason did not actively look for work,   Caring for ill or elderly person or family member,5.4
Feb-24,People aged 55 years and over,Reason did not actively look for work,   Childcare,2.2
Feb-24,People aged 55 years and over,Reason did not actively look for work,   Other family considerations,3.5
Feb-24,People aged 55 years and over,Reason did not actively look for work,Other reasons,13.5
Feb-24,People aged 55 years and over,Reason did not actively look for work,Did not know,2.8
Feb-24,People aged 55 years and over,Reason childcare is a barrier to looking for work,No childcare in locality or at all,0.0
Feb-24,People aged 55 years and over,Reason childcare is a barrier to looking for work,"Childcare costs, too expensive",0.4
Feb-24,People aged 55 years and over,Reason childcare is a barrier to looking for work,Booked out or no places available,0.0
Feb-24,People aged 55 years and over,Reason childcare is a barrier to looking for work,Children too young or too old,0.6
Feb-24,People aged 55 years and over,Reason childcare is a barrier to looking for work,Prefers to look after children,1.1
Feb-24,People aged 55 years and over,Reason childcare is a barrier to looking for work,Child has a disability or special needs,0.0
Feb-24,People aged 55 years and over,Reason childcare is a barrier to looking for work,"On maternity, paternity or parental leave",0.0
Feb-24,People aged 55 years and over,Reason childcare is a barrier to looking for work,Other childcare reasons,0.2
Feb-24,People aged 55 years and over,Age of youngest child in household,With children aged under 15 years,6.9
Feb-24,People aged 55 years and over,Age of youngest child in household,   0 - 2 years,0.9
Feb-24,People aged 55 years and over,Age of youngest child in household,   3 - 4 years,0.8
Feb-24,People aged 55 years and over,Age of youngest child in household,   5 years,1.0
Feb-24,People aged 55 years and over,Age of youngest child in household,   6 - 9 years,2.3
Feb-24,People aged 55 years and over,Age of youngest child in household,   10 - 14 years,2.0
Feb-24,People aged 55 years and over,Age of youngest child in household,Without children aged under 15 years,93.1
